p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,pose
0,0,0,0,1600,1793,415,484,1114,689,813,798,2
0,0,0,0,1569,1779,417,485,1114,685,814,799,2
0,0,0,0,1613,1791,412,486,1124,691,815,807,2
0,0,0,0,1603,1793,420,486,1120,692,823,813,2
0,0,0,0,1579,1793,422,484,1118,690,823,817,2
0,0,0,0,1657,1794,423,487,1119,691,823,817,2
0,0,0,0,1660,1800,426,487,1121,692,826,821,2
0,0,0,0,1662,1795,427,491,1121,694,827,823,2
0,0,0,0,1668,1792,427,492,1127,693,803,812,2
0,0,0,0,1674,1789,424,490,1128,695,817,821,2
0,0,0,0,1665,1784,427,495,1127,697,815,825,2
0,0,0,0,1662,1787,429,492,1127,699,817,829,2
0,0,0,0,1665,1793,429,493,1130,701,823,830,2
0,0,0,0,1662,1797,430,493,1134,698,820,825,2
0,0,0,0,1661,1797,425,494,1134,697,822,821,2
0,0,0,0,1643,1788,424,493,1137,700,825,820,2
0,0,0,0,1607,1786,424,494,1134,690,823,818,2
0,0,0,0,1647,1797,425,493,1135,693,824,821,2
0,0,0,0,1652,1799,417,495,1141,693,824,824,2
0,0,0,0,1641,1799,423,494,1142,697,824,830,2
0,0,0,0,1593,1794,436,492,1140,697,827,833,2
0,0,0,0,1647,1794,435,494,1139,697,827,834,2
0,0,0,0,1659,1802,437,494,1140,698,827,836,2
0,0,0,0,1647,1800,440,493,1143,698,829,833,2
0,0,0,0,1637,1805,433,493,1145,700,829,836,2
0,0,0,0,1670,1775,426,486,1111,699,676,809,2
0,0,0,0,1682,1685,468,478,1107,689,606,779,2
0,0,0,0,1680,1718,483,480,1111,693,691,806,2
0,0,0,0,1676,1716,486,477,1130,700,712,807,2
0,0,0,0,1629,1716,489,476,1135,697,726,790,2
0,0,0,0,1730,1708,474,478,1143,698,672,773,2
0,0,0,0,1727,1716,476,481,1145,701,700,775,2
0,0,0,0,1717,1724,478,479,1135,701,694,767,2
0,0,0,0,1731,1693,482,479,1151,697,737,754,2
0,0,0,0,1713,1729,492,480,1133,687,695,658,2
0,0,0,0,1699,1743,494,484,1132,701,695,744,2
0,0,0,0,1717,1744,498,483,1139,710,726,743,2
0,0,0,0,1716,1748,499,481,1145,703,746,752,2
0,0,0,0,1706,1747,499,481,1145,702,751,758,2
0,0,0,0,1704,1753,499,481,1146,703,754,759,2
0,0,0,0,1705,1754,500,482,1149,702,760,762,2
0,0,0,0,1700,1757,499,483,1160,707,770,769,2
0,0,0,0,1687,1762,501,482,1158,705,771,774,2
0,0,0,0,1626,1765,502,482,1155,705,762,774,2
0,0,0,0,1642,1765,504,484,1157,705,764,775,2
0,0,0,0,1617,1768,504,485,1166,710,769,780,2
0,0,0,0,1666,1772,504,486,1168,711,772,778,2
0,0,0,0,1686,1771,505,485,1173,710,777,775,2
0,0,0,0,1673,1777,503,489,1171,712,779,780,2
0,0,0,0,1667,1770,504,487,1166,710,779,788,2
0,0,0,0,1666,1752,503,484,1181,705,794,777,2
0,0,0,0,1692,1733,481,478,1180,698,782,778,2
0,0,0,0,1632,1733,478,483,1178,701,789,774,2
0,0,0,0,1627,1738,489,484,1189,707,789,781,2
0,0,0,0,1627,1759,490,486,1154,717,762,790,2
0,0,0,0,1648,1771,503,487,1155,710,771,799,2
0,0,0,0,1610,1782,506,489,1154,717,767,809,2
0,0,0,0,1620,1779,509,489,1156,714,765,814,2
0,0,0,0,1581,1773,502,466,1165,725,766,739,2
0,0,0,0,1582,1717,510,455,951,709,636,774,2
0,0,0,0,1600,1733,509,470,976,718,601,772,2
0,0,0,0,1644,1734,517,476,991,721,646,786,2
0,0,0,0,1683,1728,520,469,1030,718,667,780,2
0,0,0,0,1690,1751,517,468,1024,724,656,777,2
0,0,0,0,1684,1749,521,471,1056,723,697,763,2
0,0,0,0,1641,1767,523,471,1051,729,694,778,2
0,0,0,0,1631,1739,523,478,1078,725,706,760,2
0,0,0,0,1618,1748,523,475,1085,723,716,776,2
0,0,0,0,1614,1774,519,477,1075,728,713,788,2
0,0,0,0,1647,1792,522,479,1082,733,723,780,2
0,0,0,0,1665,1763,525,480,1108,724,742,790,2
0,0,0,0,1633,1797,513,483,1049,735,676,804,2
0,0,0,0,1623,1797,514,480,1049,730,626,809,2
0,0,0,0,1626,1807,514,484,1041,733,600,829,2
0,0,0,0,1603,1749,519,481,1085,726,637,815,2
0,0,0,0,1634,1735,517,464,1071,713,656,632,2
0,0,0,0,1688,1739,519,474,1061,722,655,574,2
0,0,0,0,1670,1763,522,474,1078,723,680,621,2
0,0,0,0,1666,1772,525,478,1085,727,688,642,2
0,0,0,0,1663,1791,526,477,1093,734,689,649,2
