p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,pose
867,224,3227,929,2338,2660,0,503,1203,634,0,340,1
75,1013,3218,423,2779,2570,0,294,1179,655,0,347,1
341,955,3323,1831,2645,2453,0,236,1285,688,0,265,1
525,819,3312,1555,2644,2464,0,224,1309,674,0,322,1
478,1086,3345,769,2562,2253,0,210,1354,621,0,324,1
967,2019,3235,374,2572,2119,0,215,1390,701,92,540,1
1603,1926,3194,1798,2334,2303,0,220,1396,734,0,606,1
1630,1817,3275,1685,2434,2300,0,215,1335,723,0,521,1
1651,1841,3267,1808,2458,2331,0,219,1357,739,0,571,1
1663,1776,3297,1797,2445,2306,0,225,1342,726,0,400,1
1415,1774,3333,1191,2490,2212,0,223,1361,618,0,296,1
1548,1755,3344,1674,2561,2274,0,241,1378,536,0,254,1
1605,1843,3344,1469,2571,2308,0,260,1392,564,0,266,1
1631,1777,3293,1442,2631,2336,0,274,1247,569,0,163,1
866,1286,2934,496,2644,2417,0,304,1264,629,0,238,1
814,947,3142,1168,2617,2426,0,334,1273,678,0,244,1
737,820,3152,939,2682,2453,0,369,1054,665,0,221,1
700,717,3152,1200,2603,2449,0,409,1238,723,0,277,1
611,809,3177,1194,2623,2429,0,451,1275,675,0,223,1
